Model,Accuracy,Precision,Recall,F1,dataset,ratio,sampler,seed,n_classes,nrows,nfeat
Random Forest,0.9739130434782608,0.6604499703966844,0.6747259832366215,0.6672582076308784,abalone-20_vs_8-9-10,0.8,smote,1,2,1916,10
Random Forest,0.9582608695652174,0.5889204057074093,0.6667472598323663,0.6142665474060822,abalone-20_vs_8-9-10,1.0,smote,1,2,1916,10
SVM,0.9808695652173912,0.4904347826086956,0.5,0.495171202809482,abalone-20_vs_8-9-10,0.0,Original,1,2,1916,10
SVM,0.9669565217391304,0.6454954954954955,0.7603159252095422,0.6850586641298394,abalone-20_vs_8-9-10,0.6,adasyn,1,2,1916,10
SVM,0.9669565217391304,0.6554742725628802,0.8048839458413927,0.7036162882178997,abalone-20_vs_8-9-10,0.8,adasyn,1,2,1916,10
SVM,0.9652173913043478,0.6485507246376812,0.8039974210186975,0.696921779464474,abalone-20_vs_8-9-10,1.0,adasyn,1,2,1916,10
SVM,0.9739130434782608,0.6429203539823009,0.6301579626047711,0.6362140959129444,abalone-20_vs_8-9-10,0.6,borderline,1,2,1916,10
SVM,0.9721739130434782,0.6292714377820761,0.6292714377820761,0.6292714377820761,abalone-20_vs_8-9-10,0.8,borderline,1,2,1916,10
SVM,0.9721739130434782,0.6292714377820761,0.6292714377820761,0.6292714377820761,abalone-20_vs_8-9-10,1.0,borderline,1,2,1916,10
SVM,0.9617391304347828,0.6136324565927453,0.7130883301096067,0.6464110017889088,abalone-20_vs_8-9-10,0.6,corsmote,1,2,1916,10
SVM,0.9617391304347828,0.6259057971014492,0.7576563507414571,0.6666139574109213,abalone-20_vs_8-9-10,0.8,corsmote,1,2,1916,10
SVM,0.9582608695652174,0.6154545454545455,0.755883301096067,0.6558946738479952,abalone-20_vs_8-9-10,1.0,corsmote,1,2,1916,10
SVM,0.9652173913043478,0.6383445074780815,0.7594294003868471,0.6785554561717353,abalone-20_vs_8-9-10,0.6,smote,1,2,1916,10
SVM,0.9634782608695652,0.6318428407036002,0.7585428755641521,0.6724180027671522,abalone-20_vs_8-9-10,0.8,smote,1,2,1916,10
SVM,0.9634782608695652,0.6318428407036002,0.7585428755641521,0.6724180027671522,abalone-20_vs_8-9-10,1.0,smote,1,2,1916,10
TabNet,0.9756521739130436,0.5912280701754385,0.5419084461637653,0.5563271604938271,abalone-20_vs_8-9-10,0.0,Original,1,2,1916,10
TabNet,0.9704347826086956,0.6791057044221601,0.8512250161186332,0.7348145736686471,abalone-20_vs_8-9-10,0.6,adasyn,1,2,1916,10
TabNet,0.9617391304347828,0.6454109218707759,0.846792392005158,0.7006342294585384,abalone-20_vs_8-9-10,0.8,adasyn,1,2,1916,10
TabNet,0.937391304347826,0.5764342409323822,0.7452450032237266,0.6086660617059891,abalone-20_vs_8-9-10,1.0,adasyn,1,2,1916,10
TabNet,0.9791304347826087,0.7160384766391834,0.6773855577047067,0.6946902654867257,abalone-20_vs_8-9-10,0.6,borderline,1,2,1916,10
TabNet,0.9791304347826087,0.7160384766391834,0.6773855577047067,0.6946902654867257,abalone-20_vs_8-9-10,0.8,borderline,1,2,1916,10
TabNet,0.9721739130434782,0.6292714377820761,0.6292714377820761,0.6292714377820761,abalone-20_vs_8-9-10,1.0,borderline,1,2,1916,10
TabNet,0.9686956521739132,0.6711956521739131,0.8503384912959382,0.7272296015180266,abalone-20_vs_8-9-10,0.6,corsmote,1,2,1916,10
